Date,Particulate_Matter,Ozon,Nitrogen_Dioxide,Sulfur_Dioxide
2023/9/22,75,2,11,10
2023/9/23,77,2,12,9
2023/9/24,91,3,10,10
2023/9/25,112,2,9,10
2023/9/26,109,2,8,9
2023/9/27,72,2,9,10
2023/9/28,74,2,11,10
2023/9/29,114,3,9,10
2023/9/30,138,2,11,10
2023/4/1,125,3,11,9
2023/4/2,94,4,11,9
2023/4/3,94,4,13,9
2023/4/4,126,4,13,9
2023/4/5,139,5,12,9
2023/4/6,135,4,14,8
2023/4/7,128,6,10,8
2023/4/8,132,3,12,9
2023/4/9,144,2,14,9
2023/4/10,153,2,14,9
2023/4/11,142,3,14,9
2023/4/12,121,3,12,8
2023/4/13,90,4,14,9
2023/4/14,102,4,13,9
2023/4/15,133,3,15,8
2023/4/16,137,4,11,8
2023/4/17,140,5,10,8
2023/4/18,119,7,12,8
2023/4/19,144,7,17,9
2023/4/20,146,7,17,9
2023/4/21,153,7,10,8
2023/4/22,141,7,9,8
2023/4/23,126,7,9,8
2023/4/24,103,6,11,8
2023/4/25,73,4,13,8
2023/4/26,100,5,14,9
2023/4/27,115,4,9,9
2023/4/28,90,4,11,9
2023/4/29,79,4,11,9
2023/4/30,96,9,11,8
2023/5/1,130,6,9,9
2023/5/2,103,5,6,8
2023/5/3,80,8,7,8
2023/5/4,91,9,11,9
2023/5/5,109,12,10,9
2023/5/6,132,10,9,9
2023/5/7,118,28,12,9
2023/5/8,83,10,13,9
2023/5/9,105,13,11,9
2023/5/10,82,24,14,9
2023/5/11,66,5,11,9
2023/5/12,73,7,8,9
2023/5/13,76,7,11,9
2023/5/14,82,13,12,9
2023/5/15,90,14,10,9
2023/5/16,97,15,12,9
2023/5/17,123,14,10,9
2023/5/18,143,15,19,9
2023/5/19,138,41,10,9
2023/5/20,132,41,9,9
2023/5/22,148,41,12,9
2023/5/23,124,30,9,9
2023/5/24,124,21,15,9
2023/5/25,78,18,11,9
2023/5/26,83,24,9,9
2023/5/27,72,22,7,9
2023/5/28,66,31,14,9
2023/5/29,88,20,14,9
2023/5/30,88,16,12,9
2023/5/31,123,32,10,9
2023/6/1,104,37,14,9
2023/6/2,109,13,11,9
2023/6/3,89,14,13,9
2023/6/4,104,11,14,9
2023/6/5,106,14,9,9
2023/6/6,101,24,10,9
2023/6/7,111,16,13,9
2023/6/8,128,10,10,9
2023/6/9,71,9,14,9
2023/6/10,118,11,8,9
2023/6/11,136,8,13,9
2023/6/12,120,10,9,9
2023/6/13,88,6,8,9
2023/6/14,75,16,11,9
2023/6/15,69,57,15,9
2023/6/19,80,8,13,9
2023/6/20,72,52,13,9
2023/6/22,114,5,9,9
2023/1/3,150,1,16,9
2023/1/4,172,1,13,9
