Date,Particulate_Matter,Ozon,Nitrogen_Dioxide,Sulfur_Dioxide, co, aqi
2017/4/8,92,20,13,13, , 
2017/4/9,99,17,18,14, , 
2017/4/10,128,15,28,13, , 
2017/4/11,136,12,18,12, , 
2017/4/12,110,12,55,14, , 
2017/4/13,117,16,74,14, , 
2017/4/14,129,8,38,11, , 
2017/4/15,102, , , , , 
2017/4/16,77,20,68,12, , 
2017/4/17,72,17,35,11, , 
2017/4/18,81,21,50,13, , 
2017/4/19,117,14,27,12, , 
2017/4/20,106,16,21,12, , 
2017/4/21,106, , , , , 
2017/4/22,50, , , , , 
2017/4/23,111, , , , , 
2017/4/24,114,18,24,12, , 
2017/4/25,92,13,25,13, , 
2017/4/26,113,17,19,13, , 
2017/4/27,82,21,29,14, , 
2017/5/3,106,15,21,12, , 
2017/5/4,105,9,26,12, , 
2017/5/5,94,13,24,12, , 
2017/5/6,110,11,20,12, , 
2017/5/7,107,10,17,12, , 
2017/5/8,85,10,20,12, , 
2017/5/9,91,10,19,12, , 
2017/5/10,77,8,13,11, , 
2017/5/11,50,17,16,12, , 
2017/5/12,55,10,25,12, , 
2017/5/13,88,8,16,12, , 
2017/5/14,57,11,16,12, , 
2017/5/15,56,11,15,12, , 
2017/5/16,78, , , , , 
2017/5/17,105,13,16,12, , 
2017/5/18,96,12,13,11, , 
2017/5/19,64,14,17,12, , 
2017/5/20,68,17,18,12, , 
2017/5/21,88,11,15,12, , 
2017/5/22,62,11,17,12, , 
2017/5/23,72,13,18,11, , 
2017/5/24,64,13,17,11, , 
2017/5/25,65,14,21,11, , 
2017/5/26,76,14,24,11, , 
2017/5/27,123,15,27,12, , 
2017/5/28,149,19,28,12, , 
2017/5/29,154, , , , , 
2017/5/30,103,15,18,13, , 
2017/5/31,103,16,14,14, , 
2017/6/1,83,17,14,16, , 
2017/6/2,97,18,14,17, , 
2017/6/3,81,21,14,17, , 
2017/6/4,82,20,14,17, , 
2017/6/5,91,13,13,14, , 
2017/6/6,80,14,13,12, , 
2017/6/7,59,14,12,13, , 
2017/6/8,80,13,10,13, , 
2017/6/9,52,15,11,13, , 
2017/6/10,48, , , , , 
2017/6/11,78,15,13,14, , 
2017/6/12,88,15,14,13, , 
2017/6/13,74,15,9,13, , 
2017/6/14,84,15,11,14, , 
2017/6/15,101,15,13,13, , 
2017/6/16,133,14,10,12, , 
2017/6/17,55,15,10,13, , 
2017/6/18,87,14,10,13, , 
2017/6/19,87, , , , , 
2017/6/20,87,14,13,13, , 
2017/6/21,63,15,13,13, , 
2017/6/22,47,17,10,14, , 
2017/6/23,53,17,8,13, , 
2017/6/24,53,17,10,13, , 
2017/6/25,47,17,10,13, , 
2017/6/26,58,18,8,15, , 
2017/6/27,50,19,8,13, , 
2017/6/28,49,19,9,13, , 
2017/6/29,62,23,10,13, , 
2017/6/30,54,21,11,14, , 
2017/1/2,169,36,11,17,70, 
2017/1/3,184,21,9,19,67, 
2017/1/4,155,9,6,12,28, 
2017/1/5,108,14,8,13,48, 
2017/1/6,115,21,9,13,41, 
2017/1/7,145,16,8,14,44, 
2017/1/8,142,12,4,13,54, 
2017/1/9,132,18, ,12,86, 
2017/1/10,151,9,5,10,40, 
2017/1/11,98,2,5,9,21, 
2017/1/12,22, , , , , 
2017/1/13,54, , , , , 
2017/1/14,100, , , , , 
2017/1/15,83, , , , , 
2017/1/16,120, , ,10,17, 
2017/1/17,98,21,14,11,36, 
2017/1/18,144,23,5,14,71, 
2017/1/19,199,9,6,14,40, 
2017/1/20,108,11,7,13,28, 
2017/1/21,139,8,7,15,23, 
2017/1/22,151, , , , , 
2017/1/23,187,19,21,17,71, 
2017/1/24,192,24,15,15,52, 
2017/1/25,186,19,16,14,48, 
2017/1/26,167,15,11,13,33, 
2017/1/27,155,14,6,10,17, 
2017/1/28,116,5,7,11,21, 
2017/1/29,89,7,8,13,20, 
2017/1/30,108,10,10,12,34, 
2017/1/31,151,6,7,14,35, 
2017/2/1,125,4,8,14,40, 
2017/2/2,129,5,7,15,41, 
2017/2/3,121,10,8,11,24, 
2017/2/4,91,6,7,12,30, 
2017/2/5,113,5,8,13,37, 
2017/2/6,93,4,7,12,28, 
2017/2/7,80,5,7,14,38, 
2017/2/8,99,2,9,13,29, 
2017/2/9,73,5,12,15,18, 
2017/2/10,140,10,13,15, , 
2017/2/11,165,12,15,16, , 
2017/2/12,163,16,22,23, , 
2017/2/13,175,11,14,15, , 
2017/2/14,192,12,17,20, , 
2017/2/15,207,3,12,13, , 
2017/2/16,107, , , , , 
2017/2/17,85, , , , , 
2017/2/18,102, , , , , 
2017/2/19,112,3,7,12, , 
2017/2/20,71,7,5,12, , 
2017/2/21,81,12,4,12, , 
2017/2/22,85,2,5,13, , 
2017/2/23,89, ,9,13, , 
2017/2/24,109,1,10,12, , 
2017/2/25,111,3,10,14, , 
2017/2/26,142,4,15,15, , 
2017/2/27,151,8,13,25, , 
2017/2/28,166,17,11,14, , 
2017/3/1,179,21,12,16, , 
2017/3/2,164,5,16,17, , 
2017/3/3,161,5,11,13, , 
2017/3/4,150,7,8,13, , 
2017/3/5,130,1,6,17, , 
2017/3/6,115,3,6,13, , 
2017/3/7,140, , , , , 
2017/3/8,68, , , , , 
2017/3/9,139, ,12,12, , 
2017/3/10,129, ,5,12, , 
2017/3/11,170, ,4,11, , 
2017/3/12,104, ,4,11, , 
2017/3/13,108, , , , , 
2017/3/14,112,16,1,12, , 
2017/3/15,104,22,2,17, , 
2017/3/16,108,18,3,13, , 
2017/3/17,100,18,4,11, , 
2017/3/18,109,17,4,11, , 
2017/3/19,79,16,4,11, , 
2017/3/20,75,13,5,11, , 
2017/3/21,55,12,4,11, , 
2017/3/22,68,11,4,11, , 
2017/3/23,60,13,3,11, , 
2017/3/24,61,12,7,13, , 
2017/3/25,66,9,8,13, , 
2017/3/26,70,9,10,15, , 
2017/3/27,106,20,14,17, , 
2017/3/28,161,20,9,13, , 
2017/3/29,147,12,24,15, , 
2017/3/30,120,10,19,13, , 
2017/3/31,85,13,23,14, , 
2016/10/1,107, , , , , 
2016/10/2,119, , , , , 
2016/10/3,149, , , , , 
2016/10/4,167,10, ,11,54, 
2016/10/5,182,4,11,13,44, 
2016/10/6,153,6,11,13,34, 
2016/10/7,174, , , , , 
2016/10/8,188, , , , , 
2016/10/9,170, , , , , 
2016/10/10,151,4,16,14,44, 
2016/10/11,163,7,12,13,29, 
2016/10/12,163,1,7,12,44, 
2016/10/13,158,1,3,13,22, 
2016/10/14,150, , , , , 
2016/10/15,136, , , , , 
2016/10/16,131, , , , , 
2016/10/17,150,2,25,13,18, 
2016/10/18,123,1,41,13,32, 
2016/10/19,89,3,71,15,58, 
2016/10/20,99, , , , , 
2016/10/21,124, , , , , 
2016/10/22,160,5,49,14,53, 
2016/10/23,147, , , , , 
2016/10/24,144,3,32,13,13, 
2016/10/25,91,11,31,13,41, 
2016/10/26,103,4,30,13,37, 
2016/10/27,76,9,44,14,47, 
2016/10/28,79,3,45,14,36, 
2016/10/29,96,1,34,13,20, 
2016/10/30,84,1,33,13,27, 
2016/10/31,78,1,30,14,23, 
2016/11/1,70,1,32,16,27, 
2016/11/2,85,1,52,14,47, 
2016/11/3,95,1,45,15,35, 
2016/11/4,149,2,63,14,49, 
2016/11/5,152,2,56,15,53, 
2016/11/6,161,2,48,15,64, 
2016/11/7,178,21,17,9,32, 
2016/11/8,121,17,5,8,19, 
2016/11/9,46,17,6,8,22, 
2016/11/10,64,27,13,10,35, 
2016/11/11,113,49,13,12,57, 
2016/11/12,178,41,9,9,41, 
2016/11/13,175,19,5,8,39, 
2016/11/14,117,24,6,9,47, 
2016/11/15,98,24,6,10,53, 
2016/11/16,96,28,9,15,54, 
2016/11/17,101,31,7,12,57, 
2016/11/18,123,51,13,12,49, 
2016/11/19,147,40,9,12,36, 
2016/11/20,137,40,13,12,59, 
2016/11/21,123,32,7,12,57, 
2016/11/22,105,32,8,12,46, 
2016/11/25,112,19,5,11,19, 
2016/11/26,63,34,14,14,27, 
2016/11/27,108,40,19,21,37, 
2016/11/28,157,22,16,17,43, 
2016/11/29,154,28,13,15,24, 
2016/11/30,134,35,13,13,31, 
2016/12/1,117, , , , , 
2016/12/2,156, , , , , 
2016/12/3,187,44,17,14,102, 
2016/12/4,197,66,12,22,56, 
2016/12/5,204,25,10,18,35, 
2016/12/6,150,46,15,23,54, 
2016/12/7,161,41,15,18,76, 
2016/12/8,173,74,25,25,58, 
2016/12/9,195,39,24,27,58, 
2016/12/10,193,54,20,18,45, 
2016/12/11,201,28,9,12,44, 
2016/12/12,149,28,8,14,50, 
2016/12/13,130,17,7,14,31, 
2016/12/14,128,18,6,10,25, 
2016/12/15,86,20,10,14,38, 
2016/12/16,144,24,16,21,52, 
2016/12/17,163,33,15,27,56, 
2016/12/18,187,48,5,19,76, 
2016/12/19,226,18,1,10,44, 
2016/12/20,109,18,3,13,52, 
2016/12/21,109,16,4,13,30, 
2016/12/22,91,23,11,18,50, 
2016/12/23,155,18,6,14,53, 
2016/12/24,145,15,3,11,37, 
2016/12/25,106,12,4,12,48, 
2016/12/26,94,11,7,12,25, 
2016/12/27,83,23,11,16,49, 
2016/12/28,142,26,13,23,52, 
2016/12/29,157,26,15,22,60, 
2016/12/30,168,36,17,22,58, 
2016/12/31,202, , , , , 
2016/7/5,64, , , , , 
2016/7/6,29, , , , , 
2016/7/7,80,8,5,13,38, 
2016/7/8,130,8,2,13,24, 
2016/7/9,80, , , , , 
2016/7/10,89, , , , , 
2016/7/11,86, , , , , 
2016/7/12,79, , , , , 
2016/7/13,121,8,5, , , 
2016/7/14,81,9,9,13,29, 
2016/7/15,106,9,11,13,20, 
2016/7/16,71,8,6,13,14, 
2016/7/17,63, , , , , 
2016/7/18,74, , , , , 
2016/7/19,70, , , , , 
2016/7/20,62, , , , , 
2016/7/21,68, , , , , 
2016/7/22,82, , , , , 
2016/7/23,67, , , , , 
2016/7/24,89, , , , , 
2016/7/25,69, , , , , 
2016/7/26,89,8,25,15,13, 
2016/7/27,85,8,15,13,10, 
2016/7/28,29, , , , , 
2016/7/29,42, , , , , 
2016/7/30,77, , , , , 
2016/7/31,102, , , , , 
2016/8/1,125, , , , , 
2016/8/2,108, , , , , 
2016/8/3,75, , , , , 
2016/8/4,47, , , , , 
2016/8/5,62, , , , , 
2016/8/6,97, , , , , 
2016/8/7,84, , , , , 
2016/8/8,63,9,15,13,14, 
2016/8/9,68,9,13,14,16, 
2016/8/10,100,9,8,14,15, 
2016/8/11,105,9,10,13,18, 
2016/8/12,92,9,9,12,14, 
2016/8/13,104,9,7,12,13, 
2016/8/14,60,9,9,12,18, 
2016/8/15,66,10,8,12,11, 
2016/8/16,79, , , , , 
2016/8/17,87,9,8,12,21, 
2016/8/18,68,10,8,12,16, 
2016/8/19,28, , , , , 
2016/8/20,45,9,8,13,19, 
2016/8/21,61, , , , , 
2016/8/22,91,9,8,13,25, 
2016/8/23,97,9,9,13,21, 
2016/8/24,112,9,9,13,17, 
2016/8/25,126,9,9,13,17, 
2016/8/26,145,9,10,13,16, 
2016/8/27,90,9,8,13,11, 
2016/8/28,63,9,7,13,14, 
2016/8/29,119,9,12,13,22, 
2016/8/30,161,10,18,13,26, 
2016/8/31,125,10,15,13,24, 
2016/9/1,69,9,11,13,19, 
2016/9/2,52,10,7,13,10, 
2016/9/3,79,10,10,13,15, 
2016/9/4,136,13,11,13,17, 
2016/9/5,161,13,12,13,19, 
2016/9/6,121,18,9,13,21, 
2016/9/7,102,10,10,13,21, 
2016/9/8,133,13,11,14,26, 
2016/9/9,106,11,14,14,26, 
2016/9/10,69,9,2,13,9, 
2016/9/11,81, , , , , 
2016/9/12,99, , , , , 
2016/9/13,105, , , , , 
2016/9/14,128,7,17,13,31, 
2016/9/15,134,7,8,12,17, 
2016/9/16,158, , , , , 
2016/9/17,162, , , , , 
2016/9/18,157, , , , , 
2016/9/19,150, , , , , 
2016/9/20,147, , , , , 
2016/9/21,153, , , , , 
2016/9/22,163, , , , , 
2016/9/23,165, , , , , 
2016/9/24,115, , , , , 
2016/9/25,106, , , , , 
2016/9/26,73, , , , , 
2016/9/27,110, , , , , 
2016/9/28,148, , , , , 
2016/9/29,132, , , , , 
2016/9/30,97, , , , , 
2016/4/1,162,38,8, ,16, 
2016/4/2,119,26,7, ,12, 
2016/4/3,135,20,6, ,17, 
2016/4/4,123,42,5, ,14, 
2016/4/5,109,50,7, ,13, 
2016/4/6,106,47,4, ,19, 
2016/4/7,121,45,8, ,22, 
2016/4/8,120,17,6, ,9, 
2016/4/9,115, , , , , 
2016/4/10,143, , , , , 
2016/4/11,144, , , , , 
2016/4/12,133,32,22, ,26, 
2016/4/13,142,95,16, ,23, 
2016/4/14,148,117,11, ,21, 
2016/4/15,157, , , , , 
2016/4/16,146, , , , , 
2016/4/17,149, , , , , 
2016/4/18,84, ,11, ,18, 
2016/4/19,124, ,11, ,11, 
2016/4/20,84,28,9, ,24, 
2016/4/21,93,35,15, ,25, 
2016/4/22,74, , , , , 
2016/4/23,122, , , , , 
2016/4/24,72,70,13, ,26, 
2016/4/25,68,85,9, ,27, 
2016/4/26,108,140,8, ,31, 
2016/4/27,114,110,13, ,31, 
2016/4/28,128,94,10, ,43, 
2016/4/29,135,94,9, ,30, 
2016/4/30,110,71,8, ,21, 
2016/5/1,62,169,3, ,8, 
2016/5/2,98, , , , , 
2016/5/3,97, , , , , 
2016/5/4,80, , , , , 
2016/5/5,92, , , , , 
2016/5/6,92, , , , , 
2016/5/7,75, , , , , 
2016/5/8,71,131,7, ,28, 
2016/5/9,97,167,10, ,25, 
2016/5/10,97,111,12, ,30, 
2016/5/11,134,131,14,11,33, 
2016/5/12,105,159,12,11,23, 
2016/5/13,83,154,6,11,20, 
2016/5/14,41,135,5,11,18, 
2016/5/15,75,52,9,11,14, 
2016/5/16,73,45,12,11,25, 
2016/5/17,117,161,9,11,26, 
2016/5/18,107,174,6,11,25, 
2016/5/19,84,161,7,11,20, 
2016/5/20,88,149,6,11,17, 
2016/5/21,103,110,8,11,30, 
2016/5/22,103,138,8,11,36, 
2016/5/23,111,124,3,11,27, 
2016/5/24,105,154,5,11,31, 
2016/5/25,90,142,2,11,22, 
2016/5/26,63,172,3,11,33, 
2016/5/27,54,150,5,11,25, 
2016/5/28,76,136,4,11,25, 
2016/5/29,89,121,4,11,35, 
2016/5/30,76,78,5,11,22, 
2016/5/31,72,58,4,11,18, 
2016/6/1,60,44,5,11,20, 
2016/6/2,71,35,5,11,20, 
2016/6/3,76,32,5,11,24, 
2016/6/4,77, , , , , 
2016/6/5,105, , , , , 
2016/6/6,104,21,14,11,29, 
2016/6/7,73, , , , , 
2016/6/8,100, , , , , 
2016/6/9,98, , , , , 
2016/6/10,110, , , , , 
2016/6/11,87, , , , , 
2016/6/12,70, , , , , 
2016/6/13,94, , , , , 
2016/6/14,100, , , , , 
2016/6/15,101, , , , , 
2016/6/16,80, , , , , 
2016/6/17,109, , , , , 
2016/6/18,104, , , , , 
2016/6/19,122, , , , , 
2016/6/20,109, , , , , 
2016/6/21,89,20,4,13,24, 
2016/6/22,88,33,5,13,28, 
2016/6/23,83,22,7,13,26, 
2016/6/24,78,23,9,13,26, 
2016/6/25,84,21,9,12,18, 
2016/6/26,95,24,7,12,26, 
2016/6/27,68,22,7,13,25, 
2016/6/28,91,8,3,13,27, 
2016/6/29,78,8,2,13,36, 
2016/1/4,161,23,19,6,22, 
2016/1/5,170, , , , , 
2016/1/6,154, , , , , 
2016/1/7,157, , , , , 
2016/1/8,150, , , , , 
2016/1/9,140, , , , , 
2016/1/10,130,7,14,6,13, 
2016/1/11,114,25,16,6,24, 
2016/1/12,145,13,14,6,19, 
2016/1/13,161,11,10,6,18, 
2016/1/14,137,11,7,6,9, 
2016/1/15,90, , , , , 
2016/1/16,144, , , , , 
2016/1/17,126, , , , , 
2016/1/18,144,5,3,6,13, 
2016/1/19,156,11, ,6,10, 
2016/1/20,197,10, ,6,13, 
2016/1/21,191,10, ,6,11, 
2016/1/22,104,20, ,6,5, 
2016/1/23,90,28, ,6,2, 
2016/1/24,127,15,5,6,5, 
2016/1/25,147,14, ,6,4, 
2016/1/26,137,17,1,6,8, 
2016/1/27,151,14, ,6,12, 
2016/1/28,181, , , , , 
2016/1/29,180, , , , , 
2016/1/30,135, , , , , 
2016/1/31,119, , , , , 
2016/2/1,75, , , , , 
2016/2/2,118, , , , , 
2016/2/3,167, , , , , 
2016/2/4,163, , , , , 
2016/2/5,165, , , , , 
2016/2/6,165, , , , , 
2016/2/7,180, , , , , 
2016/2/8,200, , , , , 
2016/2/9,143, , , , , 
2016/2/10,137, , , , , 
2016/2/11,131, , , , , 
2016/2/12,149, , , , , 
2016/2/13,159, , , , , 
2016/2/14,172, , , , , 
2016/2/15,105, , , , , 
2016/2/16,130, , , , , 
2016/2/17,167, , , , , 
2016/2/18,175,18,26,6,14, 
2016/2/19,183,12,31,6,16, 
2016/2/20,172, , , , , 
2016/2/21,171,16,25,6,17, 
2016/2/22,165,15,16,6,10, 
2016/2/23,123,19,16,6,9, 
2016/2/24,117,14,12,7,6, 
2016/2/25,135,12,17,6,20, 
2016/2/26,135,19,16,7,14, 
2016/2/27,150,30,22,7,16, 
2016/2/28,173,29,27,7,17, 
2016/2/29,191,40,31,7,25, 
2016/3/1,178, , , , , 
2016/3/2,154, , , , , 
2016/3/3,145,2,21,7,19, 
2016/3/6,152,20,9,7,13, 
2016/3/7,119,74,6,7,21, 
2016/3/8,94,54,11,7,20, 
2016/3/9,104,14,14,7,11, 
2016/3/10,88,19,19,7,13, 
2016/3/11,48,14,17,7,16, 
2016/3/12,16,19,14,7,11, 
2016/3/13,19,16,23,7,16, 
2016/3/14,73,19,23,7,19, 
2016/3/15,143,18,20,7,22, 
2016/3/16,96,17,18,7,21, 
2016/3/18,160,60,10,7,20, 
2016/3/19,133,4,6,7,5, 
2016/3/20,126,52,6,7,16, 
2016/3/21,97,67,6,7,24, 
2016/3/22,124,23,7,7,15, 
2016/3/23,142, , , , , 
2016/3/24,76, , , , , 
2016/3/25,118, , , , , 
2016/3/26,142, , , , , 
2016/3/27,166, , , , , 
2016/3/28,194, , , , , 
2016/3/29,184, , , , , 
2016/3/30,157,3,18, ,26, 
2016/3/31,153,15,12, ,24, 
2015/12/27,129,9,10,5,12, 
2015/12/28,163,7,13,5,20, 
2015/12/29,127,10,10,5,11, 
2015/12/30,83,13,10,5,12, 
2024/1/1, ,6,14,12, , 
2023/11/8, ,3,12,15, , 
2023/11/9, ,2,11,15, , 
2023/11/10, ,2,10,15, , 
2023/11/11, ,2,11,15, , 
2023/11/12, ,2,5,19, , 
2023/11/13, ,3,7,21, , 
2023/11/14, ,2,10,19, , 
2023/11/15, ,4,7,19, , 
2023/11/16, ,7,14,17, , 
2023/11/17, ,8,16,14, , 
2023/11/18, ,9,18,13, , 
2023/11/19, ,13,15,12, , 
2023/11/21, ,5,18,11, , 
2023/11/22, ,7,15,12, , 
2023/11/23, ,5,18,12, , 
2023/11/24, ,6,19,12, , 
2023/11/25, ,10,14,11, , 
2023/11/26, ,11,16,12, , 
2023/11/27, ,8,16,11, , 
2023/11/28, ,11,18,12, , 
2023/11/29, ,6,13,11, , 
2023/11/30, ,6,6,11, , 
2023/12/1, ,3,6,12, , 
2023/12/2, ,2,7,12, , 
2023/12/3, ,2,8,12, , 
2023/12/4, ,2,10,11, , 
2023/12/5, ,3,9,11, , 
2023/12/6, ,6,14,12, , 
2023/12/7, ,6,18,12, , 
2023/12/28, ,9,17,12, , 
2023/12/29, ,5,13,12, , 
2023/12/30, ,2,13,12, , 
2023/5/21, ,51,10,9, , 
2023/6/21, ,59,17,9, , 
2023/3/17, ,3,11,8, , 
2023/3/18, ,3,8,8, , 
2023/3/19, ,3,9,8, , 
2022/10/2, ,2,10,8, , 
2022/10/3, ,2,12,8, , 
2022/10/4, ,2,13,8, , 
2022/10/5, ,2,13,8, , 
2022/10/6, ,2,14,8, , 
2022/10/7, ,2,14,8, , 
2022/10/8, ,2,9,8, , 
2022/10/9, ,3,10,8, , 
2022/10/10, ,5,11,8, , 
2022/10/11, ,7,16,8, , 
2022/10/12, ,8,17,8, , 
2022/10/13, ,8,15,8, , 
2022/10/14, ,9,15,8, , 
2022/10/15, ,7,13,8, , 
2022/10/16, ,8,12,8, , 
2022/10/17, ,10,13,8, , 
2022/10/18, ,5,13,8, , 
2022/10/19, ,3,7,8, , 
2022/10/20, ,1,9,8, , 
2022/10/21, ,3,12,8, , 
2022/10/22, ,4,15,8, , 
2022/10/23, ,7,16,8, , 
2022/10/24, ,5,16,8, , 
2022/4/1, ,9,6,6, , 
2022/4/2, ,9,8,6, , 
2022/4/3, ,9,8,6, , 
2022/4/4, ,8,14,8, , 
2022/4/5, ,10,16,8, , 
2022/4/6, ,14,17,7, , 
2022/4/7, ,11,14,8, , 
2022/4/8, ,14,18,9, , 
2022/4/9, ,8,13,7, , 
2022/4/10, ,5,11,6, , 
2022/4/11, ,2,13,6, , 
2022/4/12, ,2,9,6, , 
2022/4/13, ,6,12,7, , 
2022/4/14, ,3,11,6, , 
2022/4/15, ,3,9,6, , 
2022/4/16, ,2,10,6, , 
2022/4/17, ,1,5,6, , 
2022/4/18, ,2,7,6, , 
2022/4/19, ,7,9,7, , 
2022/4/20, ,7,13,8, , 
2022/4/21, ,6,12,8, , 
2022/4/22, ,3,7,7, , 
2022/4/23, ,3,7,7, , 
2022/4/24, ,3,5,7, , 
2022/4/25, ,3,8,7, , 
2022/4/26, ,2,9,7, , 
2022/4/27, ,2,7,7, , 
2022/4/28, ,2,5,7, , 
2022/4/29, ,2,6,7, , 
2022/4/30, ,2,6,7, , 
2022/5/1, ,2,4,6, , 
2022/5/2, ,3,6,7, , 
2022/5/3, ,3,9,6, , 
2022/5/4, ,5,12,6, , 
2022/5/5, ,5,13,6, , 
2022/5/6, ,4,12,7, , 
2022/5/7, ,2,8,6, , 
2022/3/23, ,2,10,6, , 
2022/3/24, ,2,12,6, , 
2022/3/25, ,7,12,6, , 
2022/3/26, ,3,9,6, , 
2022/3/29, ,2,13,6, , 
2022/3/30, ,4,13,6, , 
2022/3/31, ,7,5,6, , 
2021/10/28, ,8,7, , , 
2019/12/31, ,1,12,2, , 
2019/10/4, ,5,5, , , 
2019/10/5, ,8,4, , , 
2019/10/6, ,10,3, , , 
2019/10/27, ,5, , , , 
2019/11/11, ,18, , , , 
2019/11/12, ,6, , , , 
2019/7/1, ,10,8, , , 
2019/7/2, ,10,6, , , 
2019/7/3, ,6,6, , , 
2019/7/4, ,5,10, , , 
2019/7/5, ,7,9, , , 
2019/7/6, ,10,10, , , 
2019/7/7, ,10,10, , , 
2019/7/8, ,8,11, , , 
2019/7/9, ,16,9, , , 
2019/7/10, ,8,9, , , 
2019/7/11, ,4,11, , , 
2019/7/12, ,5,10, , , 
2019/7/13, ,5,10, , , 
2019/7/14, ,4,7, , , 
2019/7/15, ,5,10, , , 
2019/7/16, ,175,12, , , 
2019/7/17, ,70,10, , , 
2019/7/18, ,6,10, , , 
2019/7/19, ,7,12, , , 
2019/7/20, ,5,10, , , 
2019/7/21, ,4,11, , , 
2019/7/22, ,21,12, , , 
2019/7/23, ,7,12, , , 
2019/7/24, ,11,10, , , 
2019/7/25, ,7,9, , , 
2019/7/28, ,6,10, , , 
2019/7/29, ,6,11, , , 
2019/7/30, ,12,10, , , 
2019/7/31, ,13,7, , , 
2019/8/1, ,5,8, , , 
2019/8/2, ,6,6, , , 
2019/8/3, ,6,3, , , 
2019/8/4, ,7,7, , , 
2019/8/10, ,5,7, , , 
2019/8/20, ,9,4, , , 
2019/9/23, ,22,6, , , 
2019/5/3, ,5,8, , , 
2019/5/4, ,6,8, , , 
2019/5/5, ,28,10, , , 
2019/5/6, ,9,9,13, , 
2019/5/7, ,22,6,13, , 
2019/5/8, ,10,6, , , 
2019/5/9, ,2,7, , , 
2019/5/10, ,10,9, , , 
2019/6/26, ,7,15, , , 
2019/6/27, ,10,12, , , 
2019/6/28, ,20,12, , , 
2019/6/29, ,13,7, , , 
2019/6/30, ,9,9, , , 
2017/4/28, ,20,30,14, , 
2017/4/29, ,16,22,12, , 
2017/4/30, ,12,16,11, , 
2017/5/1, ,8,15,11, , 
2017/5/2, ,9,17,12, , 
2017/1/1, ,23,7,12,71, 
2016/11/23, ,24,5,11,24, 
2016/11/24, ,22,8,13,29, 
2016/7/1, ,8,2,12,16, 
2016/7/2, ,8,3,13,17, 
2016/6/30, ,8,2,12,17, 
2016/1/3, ,17,20,6,23, 
2016/3/4, ,4,14,7,25, 
2016/3/5, ,22,13,7,14, 
2016/3/17, ,50,12,7,21, 
2015/10/1, ,138,36,8,19,153
2015/10/2, ,92,32,4,19,153
2015/10/3, ,134,18,4,10, 
2015/10/4, ,116,18, ,10, 
2015/10/5, ,70,30, ,14,115
2015/10/13, ,33,35, , , 
2015/10/14, ,92,21,2,36,154
2015/10/15, ,89,23,2,22,169
2015/10/16, ,130,22,5,19,170
2015/10/17, ,131,22,2,17, 
2015/10/18, ,162,23,9,20, 
2015/10/19, ,143,25, ,23, 
2015/10/20, ,168,25,5,24,212
2015/10/21, ,158,27,10,28,196
2015/10/22, ,134,34,10,27,187
2015/10/23, ,145,30,7,21, 
2015/10/24, ,94,26,5,24, 
2015/10/25, ,121,24,6,22, 
2015/10/26, ,131,21,2,23,199
2015/10/27, ,160,16,3,21,171
2015/10/28, ,136,14,3,19,163
2015/10/29, ,141,10, ,17, 
2015/10/30, ,134,11, ,23, 
2015/10/31, ,145,10, ,18, 
2015/11/1, ,36,7, ,6, 
2015/11/2, ,68,19, ,16,72
2015/11/3, ,92,27, ,20,154
2015/11/4, ,112,23, ,23,171
2015/11/5, ,97,19, ,22, 
2015/11/6, ,121,14,2,25, 
2015/11/7, ,148,7,1,24, 
2015/11/8, ,169,6, ,21, 
2015/11/9, ,164,6, ,29, 
2015/11/10, ,151,8, ,26, 
2015/11/11, ,125,10, ,27, 
2015/11/12, ,154,5,6,13, 
2015/11/13, ,51,7,10,13, 
2015/11/14, ,58,6,5,22, 
2015/11/15, ,123,5,5,17, 
2015/11/16, ,69,7,5,10, 
2015/11/17, ,117,6,5,11, 
2015/11/23, ,33,19,5,40, 
2015/11/24, ,38,14,5,29,160
2015/11/25, ,34,14,5,22, 
2015/11/26, ,15,15,5,16, 
2015/11/27, ,17,20,5,17,112
2015/11/28, ,12,16,5,16, 
2015/11/29, ,12,12,5,12, 
2015/11/30, ,7,13,5,20, 
2015/12/1, ,23,11,5,18,163
2015/12/2, ,56,11,5,21,153
2015/12/3, ,18,8,5,13,147
2015/12/4, ,13,7,5,7,112
2015/12/21, ,5,36,5,40, 
2015/12/22, ,23,24,5,26, 
2015/12/23, ,16,15,5,21, 
2015/12/24, ,23,13,5,23, 
2015/12/25, ,18,12,6,10, 
2015/12/26, ,11,11,5,11, 
2015/7/1, ,15,28,32,15, 
2015/7/2, ,15,34,34,15, 
2015/7/3, ,12,23,29,9, 
2015/7/4, ,13,19,24,8, 
2015/7/5, ,22,22,24,9,82
2015/7/6, ,26,31,25,13,93
2015/7/7, ,21,33,27,15,170
2015/7/8, ,20,30,26,13,149
2015/7/9, ,17,27,26,11, 
2015/7/10, ,14,24,26,13, 
2015/7/11, ,13,23,38,11, 
2015/7/12, ,19,18,61,11,144
2015/7/13, ,11,20,47,14,153
2015/7/14, ,20,15,26,17,153
2015/7/15, ,5,8,25,11,157
2015/7/16, ,5,9,24,9,70
2015/7/17, ,5,11,25,10, 
2015/7/18, ,5,12,25,11, 
2015/7/19, ,5,6,24,12,147
2015/7/20, ,5, , , ,119
2015/7/22, ,5,9,25,14,61
2015/7/23, ,5,10,25,13,63
2015/7/24, ,8,9,25,12, 
